Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
58.2;0.92;19:45:33:725;0;0;
58.4;0.92;19:45:33:925;0;0;
58.6;0.92;19:45:34:125;0;0;
58.8;0.92;19:45:34:325;0;0;
59.0;0.92;19:45:34:525;0;0;
59.2;0.92;19:45:34:725;0;0;
59.4;0.91;19:45:34:925;0;0;
59.6;0.91;19:45:35:125;0;0;
59.8;0.91;19:45:35:325;0;0;
60.0;0.91;19:45:35:525;0;0;
60.2;0.91;19:45:35:725;0;0;
60.4;0.91;19:45:35:925;0;0;
60.6;0.91;19:45:36:125;0;0;
60.8;0.91;19:45:36:325;0;0;
61.0;0.91;19:45:36:525;0;0;
61.2;0.91;19:45:36:725;0;0;
61.4;0.91;19:45:36:925;0;0;
61.6;0.90;19:45:37:125;0;0;
61.8;0.90;19:45:37:325;0;0;
62.0;0.90;19:45:37:525;0;0;
62.2;0.90;19:45:37:725;0;0;
62.4;0.90;19:45:37:925;0;0;
62.6;0.90;19:45:38:125;0;0;
62.8;0.90;19:45:38:325;0;0;
63.0;0.90;19:45:38:525;0;0;
63.2;0.89;19:45:38:725;0;0;
63.4;0.89;19:45:38:925;0;0;
63.6;0.89;19:45:39:125;0;0;
63.8;0.90;19:45:39:325;0;0;
64.0;0.90;19:45:39:525;0;0;
64.2;0.90;19:45:39:725;0;0;
64.4;0.90;19:45:39:925;0;0;
64.6;0.89;19:45:40:125;0;0;
64.8;0.89;19:45:40:325;0;0;
65.0;0.89;19:45:40:525;0;0;
65.2;0.89;19:45:40:725;0;0;
65.4;0.89;19:45:40:925;0;0;
